audit_id,state,state_source,district,financial_year,scheme,issue_type,severity,amount,source_pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p5#0,JHARKHAND,paragraph,UNKNOWN,2026,UNKNOWN,underutilization,MEDIUM,,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p7#1,JHARKHAND,document,UNKNOWN,2019,UNKNOWN,delay,MEDIUM,,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p8#2,JHARKHAND,document,GUMLA,2019,UNKNOWN,overpayment,UNKNOWN,,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p16#3,JHARKHAND,document,UNKNOWN,2019,UNKNOWN,delay,MEDIUM,3261999.9999999995,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p17#4,JHARKHAND,document,UNKNOWN,2026,UNKNOWN,overpayment,MEDIUM,,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p19#5,JHARKHAND,paragraph,UNKNOWN,2025,UNKNOWN,delay,MEDIUM,,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p20#6,JHARKHAND,document,UNKNOWN,2019,UNKNOWN,overpayment,UNKNOWN,271300000.0,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p25#7,JHARKHAND,paragraph,UNKNOWN,2005,UNKNOWN,delay,UNKNOWN,,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p28#8,JHARKHAND,paragraph,UNKNOWN,2019,UNKNOWN,delay,UNKNOWN,,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p34#9,JHARKHAND,document,GIRIDIH,2019,UNKNOWN,delay,MEDIUM,,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p35#10,JHARKHAND,paragraph,UNKNOWN,2019,UNKNOWN,underutilization,UNKNOWN,,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p36#11,JHARKHAND,paragraph,UNKNOWN,2019,UNKNOWN,delay,UNKNOWN,185588000000.0,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p37#12,JHARKHAND,paragraph,UNKNOWN,2019,UNKNOWN,delay,UNKNOWN,,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p40#13,JHARKHAND,document,UNKNOWN,2019,UNKNOWN,delay,UNKNOWN,2310900000.0,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848#p41#14,JHARKHAND,paragraph,UNKNOWN,2019,UNKNOWN,delay,UNKNOWN,505075.0,JHR-Report-No.-5-of-2026---English-06a7d9dac5c2060.62464848.pdf
