record_id,budget_allocated,expenditure,utilisation_ratio,state,district,financial_year,label,confidence_label,source_file
MPL-GJ-2020-000001,846900.0,837352.52,0.9887265556736333,Gujarat,Surat,2020,,,synthetic_dataset.csv
MPL-WB-2019-000002,531100.0,483284.68,0.9099692713236679,West Bengal,Nadia,2019,,,synthetic_dataset.csv
MPL-AP-2015-000003,,372794.48,,Andhra Pradesh,Anantapur,2015,,,synthetic_dataset.csv
MPL-MP-2021-000004,1080200.0,956784.9,0.8857479170523977,Madhya Pradesh,,2021,,,synthetic_dataset.csv
MPL-UP-2021-000005,,581521.28,,Uttar Pradesh,Bareilly,2021,,,synthetic_dataset.csv
MPL-PB-2017-000006,755200.0,679074.54,0.899198278601695,,Jalandhar,2017,,,synthetic_dataset.csv
MPL-GJ-2020-000007,133500.0,,,,Ahmedabad,2020,,,synthetic_dataset.csv
MPL-GJ-2021-000008,214700.0,,,Gujarat,Rajkot,2021,,,synthetic_dataset.csv
MPL-UP-2021-000009,157900.0,120783.1,0.7649341355288157,Uttar Pradesh,Jhansi,2021,,,synthetic_dataset.csv
MPL-WB-2019-000010,843200.0,,,West Bengal,Hooghly,2019,,,synthetic_dataset.csv
MPL-TN-2022-000011,102700.0,94603.15,0.9211601752677702,Tamil Nadu,Thanjavur,2022,,,synthetic_dataset.csv
MPL-OD-2019-000012,679900.0,627502.94,0.9229341667892337,Odisha,Mayurbhanj,2019,,,synthetic_dataset.csv
MPL-RJ-2015-000013,970800.0,985985.77,1.015642531932427,Rajasthan,Ajmer,2015,,,synthetic_dataset.csv
MPL-GJ-2017-000014,229800.0,227503.15,0.9900050043516101,Gujarat,,2017,,,synthetic_dataset.csv
MPL-WB-2015-000015,,845636.34,,West Bengal,N/A,2015,,,synthetic_dataset.csv
MPL-MH-2022-000016,523200.0,465308.29,0.8893507071865443,Maharashtra,Amravati,2022,,,synthetic_dataset.csv
MPL-BR-2017-000017,206900.0,196839.59,0.9513754954084098,Bihar,Bhagalpur,2017,,,synthetic_dataset.csv
MPL-UP-2022-000018,918300.0,,,Uttar Pradesh,Kanpur Nagar,2022,,,synthetic_dataset.csv
MPL-GJ-2017-000019,,,,Gujarat,Mehsana,2017,,,synthetic_dataset.csv
MPL-RJ-2015-000020,,75461.45,,Rajasthan,Bikaner,2015,,,synthetic_dataset.csv
MPL-MP-2022-000021,399800.0,,,Madhya Pradesh,Chhindwara,2022,,,synthetic_dataset.csv
MPL-TN-2017-000022,1912200.0,1882822.67,0.984636894676289,,Tiruchirappalli,2017,,,synthetic_dataset.csv
MPL-PB-2021-000023,322000.0,267752.32,0.8315289440993789,Punjab,Patiala,2021,,,synthetic_dataset.csv
MPL-AP-2017-000024,,863068.98,,Andhra Pradesh,Srikakulam,2017,,,synthetic_dataset.csv
MPL-GJ-2022-000025,1567200.0,1885906.15,1.203360228432874,Gujarat,,2022,,,synthetic_dataset.csv
MPL-MH-2022-000026,1800100.0,1586223.06,0.8811860785511916,Maharashtra,,2022,,,synthetic_dataset.csv
MPL-WB-2016-000027,1224000.0,1111186.19,0.9078318545751634,West Bengal,Bankura,2016,,,synthetic_dataset.csv
MPL-UP-2016-000028,2267000.0,,,Uttar Pradesh,Gorakhpur,2016,,,synthetic_dataset.csv
MPL-MH-2020-000029,554400.0,534604.03,0.9642929834054834,Maharashtra,Nagpur,2020,,,synthetic_dataset.csv
MPL-MP-2021-000030,654900.0,589784.92,0.9005724843487556,Madhya Pradesh,,2021,,,synthetic_dataset.csv
MPL-MP-2015-000031,562300.0,510352.14,0.9076154010314779,Madhya Pradesh,Satna,2015,,,synthetic_dataset.csv
MPL-PB-2015-000032,,153854.04,,Punjab,Patiala,2015,,,synthetic_dataset.csv
MPL-TN-2021-000033,,334549.47,,Tamil Nadu,Coimbatore,2021,,,synthetic_dataset.csv
MPL-TN-2017-000034,875600.0,712447.17,0.8136673937871175,Tamil Nadu,Thanjavur,2017,,,synthetic_dataset.csv
MPL-WB-2016-000035,701200.0,600554.73,0.8564670992584141,West Bengal,,2016,,,synthetic_dataset.csv
MPL-MH-2017-000036,272300.0,285716.95,1.049272677194271,Maharashtra,NULL,2017,,,synthetic_dataset.csv
MPL-UP-2020-000037,1009800.0,,,Uttar Pradesh,Jhansi,2020,,,synthetic_dataset.csv
MPL-WB-2017-000038,1360100.0,1215585.29,0.8937469965443717,West Bengal,Bankura,2017,,,synthetic_dataset.csv
MPL-MH-2018-000039,1052400.0,1040687.68,0.988870847586469,Maharashtra,Amravati,2018,,,synthetic_dataset.csv
MPL-RJ-2021-000040,522600.0,,,Rajasthan,Barmer,2021,,,synthetic_dataset.csv
MPL-WB-2018-000041,403200.0,398340.97,0.9879488343253967,West Bengal,Nadia,2018,,,synthetic_dataset.csv
MPL-AP-2017-000042,1413500.0,1554720.14,1.0999081287584012,Andhra Pradesh,Guntur,2017,,,synthetic_dataset.csv
MPL-MP-2017-000043,525300.0,512530.36,0.9756907671806586,Madhya Pradesh,Gwalior,2017,,,synthetic_dataset.csv
MPL-KA-2021-000044,690400.0,555983.51,0.8053063586326767,Karnataka,Hassan,2021,,,synthetic_dataset.csv
MPL-AP-2021-000045,771800.0,793761.92,1.0284554547810314,Andhra Pradesh,Guntur,2021,,,synthetic_dataset.csv
MPL-GJ-2020-000046,137900.0,,,Gujarat,Junagadh,2020,,,synthetic_dataset.csv
MPL-TN-2021-000047,1450300.0,1078834.38,0.7438698062469833,Tamil Nadu,Erode,2021,,,synthetic_dataset.csv
MPL-KA-2015-000048,955600.0,,,Karnataka,Ballari,2015,,,synthetic_dataset.csv
MPL-MP-2022-000049,1631000.0,,,Madhya Pradesh,Indore,2022,,,synthetic_dataset.csv
MPL-MH-2021-000050,96900.0,96635.67,0.9972721362229102,Maharashtra,Pune,2021,,,synthetic_dataset.csv
MPL-MH-2015-000051,1171300.0,,,Maharashtra,Kolhapur,2015,,,synthetic_dataset.csv
MPL-UP-2022-000052,172100.0,164619.29,0.9565327716443929,Uttar Pradesh,Lucknow,2022,,,synthetic_dataset.csv
MPL-GJ-2015-000053,238300.0,210975.54,0.8853358791439363,Gujarat,Vadodara,2015,,,synthetic_dataset.csv
MPL-RJ-2020-000054,951800.0,1061686.76,1.1154515234292919,Rajasthan,Bhilwara,2020,,,synthetic_dataset.csv
MPL-MP-2016-000055,1131800.0,972534.09,0.8592808711786535,Madhya Pradesh,,1969,,,synthetic_dataset.csv
MPL-GJ-2018-000056,424400.0,453139.05,1.0677168944392084,Gujarat,Rajkot,2018,,,synthetic_dataset.csv
MPL-WB-2017-000057,486900.0,,,West Bengal,Malda,2017,,,synthetic_dataset.csv
MPL-BR-2018-000058,17629381.07,17105200.25,0.9702666351178941,,Purnia,2018,,,synthetic_dataset.csv
MPL-MH-2016-000059,301500.0,203800.07,0.6759537976782753,Maharashtra,Pune,2016,,,synthetic_dataset.csv
MPL-UP-2015-000060,603500.0,,,Uttar Pradesh,Meerut,2015,,,synthetic_dataset.csv
MPL-RJ-2021-000061,473000.0,,,Rajasthan,Barmer,2021,,,synthetic_dataset.csv
MPL-WB-2019-000062,647300.0,,,West Bengal,Bankura,2019,,,synthetic_dataset.csv
